Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State,Year,Month,Quarter,Weekday,Weekend,Donation Category
College of Communication Arts and Sciences,Cincinnati,College of Political Science,Scholarship,4327.0,2014-11-20,Social Relations and Policy,2131,OH,2014,November,4,Thursday,No,Premium
College of Communication Arts and Sciences,Los Angeles,College of Agriculture and Natural Resources,Scholarship,6723.0,2013-09-19,Agriculture and Natural Resources-No Preference,2132,CA,2013,September,3,Thursday,No,VIP
Campus Museums,El Paso,College of Agriculture and Natural Resources,Campus Resource,290.0,2012-05-16,Environmental Economics and Policy,2133,TX,2012,May,2,Wednesday,No,Medium
Trustees Fund,Cincinnati,College of Agriculture and Natural Resources,Endowment,3742.0,2014-10-05,Horticulture,2134,OH,2014,October,4,Sunday,Yes,Premium
University Annual Fund,Henderson,College of Arts and Sciences,Endowment,8501.0,2013-06-04,Studio Art,2135,NV,2013,June,2,Tuesday,No,VIP
Campus Recreation,Houston,College of Arts and Sciences,Campus Resource,1411.0,2012-02-26,Apparel and Textile Design,2136,TX,2012,February,1,Sunday,Yes,Premium
Minority Scholarship Fund,Houston,College of Arts and Sciences,Scholarship,1411.0,2015-09-19,Apparel and Textile Design,2136,TX,2015,September,3,Saturday,Yes,Premium
Alumni Association,Cleveland,College of Natural Science,Campus Resource,9502.0,2014-03-26,Environmental Geosciences,2137,OH,2014,March,1,Wednesday,No,VIP
University Libraries,Cleveland,College of Natural Science,Campus Resource,9502.0,2015-02-10,Environmental Geosciences,2137,OH,2015,February,1,Tuesday,No,VIP
College of Education,Houston,College of Engineering,Scholarship,7490.0,2013-01-28,Materials Science and Engineering,2138,TX,2013,January,1,Monday,No,VIP
University Annual Fund,Houston,College of Engineering,Endowment,7490.0,2015-12-23,Materials Science and Engineering,2138,TX,2015,December,4,Wednesday,No,VIP
Honors Program,Durham,College of Natural Science,Campus Resource,8323.0,2014-06-28,Actuarial Science,2139,NC,2014,June,2,Saturday,Yes,VIP
College of Agriculture and Natural Resources,Durham,College of Natural Science,Scholarship,8323.0,2015-12-06,Actuarial Science,2139,NC,2015,December,4,Sunday,Yes,VIP
Diversity Fund,Colorado Springs,College of Engineering,Endowment,2911.0,2012-12-22,Applied Engineering Sciences,2140,CO,2012,December,4,Saturday,Yes,Premium
Faculty Chair Endowments,Colorado Springs,College of Engineering,Endowment,2911.0,2015-06-15,Applied Engineering Sciences,2140,CO,2015,June,2,Monday,No,Premium
Diversity Fund,Detroit,College of Social Science,Endowment,3354.0,2014-03-21,Public Policy,2141,MI,2014,March,1,Friday,No,Premium
College of Agriculture and Natural Resources,Detroit,College of Social Science,Scholarship,3354.0,2015-01-15,Public Policy,2141,MI,2015,January,1,Thursday,No,Premium
College of Agriculture and Natural Resources,Philadelphia,College of Natural Science,Scholarship,5130.0,2012-09-19,Environmental Biology/Plant Biol,2142,PA,2012,September,3,Wednesday,No,VIP
Faculty Chair Endowments,Philadelphia,College of Natural Science,Endowment,5130.0,2015-06-29,Environmental Biology/Plant Biol,2142,PA,2015,June,2,Monday,No,VIP
University Annual Fund,Hartford,College of Agriculture and Natural Resources,Endowment,1871.0,2014-02-10,Packaging,2143,CT,2014,February,1,Monday,No,Premium
University Annual Fund,Hartford,College of Agriculture and Natural Resources,Endowment,1871.0,2015-12-09,Packaging,2143,CT,2015,December,4,Wednesday,No,Premium
College of Agriculture and Natural Resources,Cleveland,College of Natural Science,Scholarship,8538.0,2012-12-23,Biochemistry and Molecular Biology/Biotechnology,2144,OH,2012,December,4,Sunday,Yes,VIP
College of Communication Arts and Sciences,Cleveland,College of Natural Science,Scholarship,8538.0,2015-06-01,Biochemistry and Molecular Biology/Biotechnology,2144,OH,2015,June,2,Monday,No,VIP
Faculty Chair Endowments,Seattle,College of Engineering,Endowment,8577.0,2014-12-06,Applied Engineering Sciences,2145,WA,2014,December,4,Saturday,Yes,VIP
Diversity Fund,Seattle,College of Engineering,Endowment,8577.0,2015-01-23,Applied Engineering Sciences,2145,WA,2015,January,1,Friday,No,VIP
College of Natural Science,Knoxville,College of Engineering,Scholarship,2918.0,2012-06-15,Materials Science and Engineering,2146,TN,2012,June,2,Friday,No,Premium
College of Natural Science,Knoxville,College of Engineering,Scholarship,2918.0,2015-06-07,Materials Science and Engineering,2146,TN,2015,June,2,Sunday,Yes,Premium
College of Music,Sacramento,College of Nursing,Scholarship,6339.0,2014-01-15,Nursing,2147,CA,2014,January,1,Wednesday,No,VIP
Campus Recreation,Sacramento,College of Nursing,Campus Resource,6339.0,2015-01-30,Nursing,2147,CA,2015,January,1,Friday,No,VIP
Campus Museums,Providence,College of Natural Science,Campus Resource,9025.0,2015-11-26,Environmental Biology/Microbiology,2149,RI,2015,November,4,Thursday,No,VIP
Diversity Fund,Memphis,College of Arts and Sciences,Endowment,9153.0,2015-01-29,Russian,2150,TN,2015,January,1,Thursday,No,VIP
University Libraries,Eugene,College of Music,Campus Resource,7301.0,2015-04-23,Composition,2151,OR,2015,April,2,Thursday,No,VIP
Honors Program,Orlando,College of Nursing,Campus Resource,1606.0,2015-01-03,Summer Research Program,2152,FL,2015,January,1,Saturday,Yes,Premium
University Annual Fund,San Antonio,College of Natural Science,Endowment,8584.0,2015-10-07,Earth Science Interdepartmental,2153,TX,2015,October,4,Wednesday,No,VIP
College of Education,Richmond,College of Natural Science,Scholarship,9475.0,2015-11-28,Biochemistry and Molecular Biology,2154,VA,2015,November,4,Saturday,Yes,VIP
Faculty Chair Endowments,Dallas,College of Agriculture and Natural Resources,Endowment,2325.0,2015-09-22,Nutritional Sciences,2155,TX,2015,September,3,Tuesday,No,Premium
Campus Recreation,Memphis,College of Natural Science,Campus Resource,41.0,2015-09-08,Chemistry,2156,TN,2015,September,3,Tuesday,No,Small
University Annual Fund,San Francisco,College of Arts and Sciences,Endowment,7239.0,2015-02-20,Global Studies in the Arts and Humanities,2157,CA,2015,February,1,Friday,No,VIP
College of Business,Miami,College of Arts and Sciences,Scholarship,5107.0,2015-05-03,Interdisciplinary Humanities,2158,FL,2015,May,2,Sunday,Yes,VIP
Trustees Fund,San Diego,College of Engineering,Endowment,7346.0,2015-08-04,Mechanical Engineering,2159,CA,2015,August,3,Tuesday,No,VIP
University Annual Fund,San Francisco,College of Business,Endowment,8867.0,2015-12-23,General Management,2160,CA,2015,December,4,Wednesday,No,VIP
Diversity Fund,New York,College of Communication Arts and Sciences,Endowment,9.0,2015-04-30,Media and Information,2161,NY,2015,April,2,Thursday,No,Small
College of Social Science,San Francisco,College of Engineering,Scholarship,8331.0,2015-01-17,Applied Engineering Sciences,2162,CA,2015,January,1,Saturday,Yes,VIP
Minority Scholarship Fund,New York,College of Education,Scholarship,6283.0,2015-07-19,Kinesiology,2163,NY,2015,July,3,Sunday,Yes,VIP
College of Social Science,Boston,College of Arts and Sciences,Scholarship,6892.0,2015-04-15,French,2164,MA,2015,April,2,Wednesday,No,VIP
College of Social Science,Hartford,College of Natural Science,Scholarship,9818.0,2015-10-04,Microbiology,2165,CT,2015,October,4,Sunday,Yes,VIP
University Annual Fund,Dallas,College of Arts and Sciences,Endowment,4852.0,2015-04-26,Russian,2166,TX,2015,April,2,Sunday,Yes,Premium
College of Engineering,Atlanta,College of Arts and Sciences,Scholarship,4501.0,2015-02-19,Humanities-Prelaw,2167,GA,2015,February,1,Thursday,No,Premium
College of Political Science,Charlotte,College of Social Science,Scholarship,6718.0,2015-03-13,Sociology,2168,NC,2015,March,1,Friday,No,VIP
Parents Association,Atlanta,College of Political Science,Campus Resource,4709.0,2015-12-18,College of Political Science,2169,GA,2015,December,4,Friday,No,Premium
College of Natural Science,Huntsville,College of Natural Science,Scholarship,1609.0,2015-11-16,Human Biology,2170,AL,2015,November,4,Monday,No,Premium
Diversity Fund,Hartford,College of Social Science,Endowment,100.0,2015-01-25,Urban and Regional Planning,2171,CT,2015,January,1,Sunday,Yes,Small
Parents Association,New Orleans,College of Natural Science,Campus Resource,7480.0,2015-06-19,Geological Sciences,2172,LA,2015,June,2,Friday,No,VIP
University Annual Fund,Portland,College of Arts and Sciences,Endowment,9630.0,2015-05-29,Humanities-Prelaw,2173,OR,2015,May,2,Friday,No,VIP
Campus Recreation,Denver,College of Natural Science,Campus Resource,1056.0,2015-01-11,Chemistry,2174,CO,2015,January,1,Sunday,Yes,Premium
Diversity Fund,Houston,College of Natural Science,Endowment,4840.0,2015-07-28,Actuarial Science,2175,TX,2015,July,3,Tuesday,No,Premium
Trustees Fund,Hartford,College of Agriculture and Natural Resources,Endowment,3115.0,2015-10-16,Agribusiness Management,2176,CT,2015,October,4,Friday,No,Premium
University Annual Fund,Denver,College of Music,Endowment,13933.5,2015-01-22,Music,2177,CO,2015,January,1,Thursday,No,VIP
Faculty Chair Endowments,Dallas,College of Agriculture and Natural Resources,Endowment,8514.0,2015-03-07,Environmental Studies and Agriscience,2178,TX,2015,March,1,Saturday,Yes,VIP
Athletics,Charleston,College of Natural Science,Campus Resource,625.0,2015-01-03,Plant Biology,2179,SC,2015,January,1,Saturday,Yes,Large
Alumni Association,Birmingham,College of Arts and Sciences,Campus Resource,8980.0,2015-01-25,Experience Architecture,2180,AL,2015,January,1,Sunday,Yes,VIP
Minority Scholarship Fund,Mobile,College of Arts and Sciences,Scholarship,1438.0,2015-09-30,Arabic,2181,AL,2015,September,3,Wednesday,No,Premium
Faculty Chair Endowments,Charleston,College of Nursing,Endowment,8740.0,2015-11-06,Nursing,2182,SC,2015,November,4,Friday,No,VIP
Diversity Fund,Raleigh,College of Arts and Sciences,Endowment,9598.0,2015-10-18,Apparel and Textile Design,2183,NC,2015,October,4,Sunday,Yes,VIP
Diversity Fund,Nashville,College of Natural Science,Endowment,4877.0,2015-01-27,Plant Biology,2184,TN,2015,January,1,Tuesday,No,Premium
University Libraries,Savannah,College of Political Science,Campus Resource,3802.0,2015-06-21,Political Theory and Constitutional Democracy,2185,GA,2015,June,2,Sunday,Yes,Premium
Athletics,New York,College of Natural Science,Campus Resource,1290.0,2015-11-10,Environmental Biology/Microbiology,2186,NY,2015,November,4,Tuesday,No,Premium
Diversity Fund,Houston,College of Arts and Sciences,Endowment,3947.0,2015-08-29,Interdisciplinary Humanities,2187,TX,2015,August,3,Saturday,Yes,Premium
University Annual Fund,San Francisco,College of Agriculture and Natural Resources,Endowment,6083.0,2015-10-17,Food Science,2188,CA,2015,October,4,Saturday,Yes,VIP
College of Social Science,Orlando,College of Agriculture and Natural Resources,Scholarship,2640.0,2015-05-29,Fisheries and Wildlife,2189,FL,2015,May,2,Friday,No,Premium
College of Agriculture and Natural Resources,Alexandria,College of Natural Science,Scholarship,5468.0,2015-07-05,Earth Science Interdepartmental,2190,VA,2015,July,3,Sunday,Yes,VIP
Trustees Fund,Boston,College of Natural Science,Endowment,5539.0,2015-03-12,Biomedical Laboratory Science,2191,MA,2015,March,1,Thursday,No,VIP
Campus Recreation,Memphis,College of Arts and Sciences,Campus Resource,6073.0,2015-12-16,Arabic,2192,TN,2015,December,4,Wednesday,No,VIP
College of Natural Science,Fresno,College of Arts and Sciences,Scholarship,6638.0,2015-10-31,Chinese,2193,CA,2015,October,4,Saturday,Yes,VIP
College of Agriculture and Natural Resources,Miami,College of Social Science,Scholarship,5947.0,2015-03-16,Urban and Regional Planning,2194,FL,2015,March,1,Monday,No,VIP
Minority Scholarship Fund,Denver,College of Engineering,Scholarship,8088.0,2015-07-02,Biosystems Engineering,2195,CO,2015,July,3,Thursday,No,VIP
College of Natural Science,Seattle,College of Engineering,Scholarship,5068.0,2015-01-07,Electrical Engineering,2196,WA,2015,January,1,Wednesday,No,VIP
College of Business,New York,College of Natural Science,Scholarship,6481.0,2015-08-08,Human Biology,2197,NY,2015,August,3,Saturday,Yes,VIP
Faculty Chair Endowments,St. Paul,College of Communication Arts and Sciences,Endowment,3438.0,2015-06-22,Journalism,2198,MN,2015,June,2,Monday,No,Premium
University Annual Fund,Phoenix,College of Music,Endowment,8910.0,2015-06-08,Music Performance,2199,AZ,2015,June,2,Monday,No,VIP
University Annual Fund,Boston,College of Music,Endowment,7487.0,2015-07-08,Composition,2200,MA,2015,July,3,Wednesday,No,VIP
In-State Scholarship Fund,Albuquerque,College of Natural Science,Scholarship,8045.0,2015-02-23,Chemical Physics,2201,NM,2015,February,1,Monday,No,VIP
Faculty Chair Endowments,Orlando,College of Social Science,Endowment,8886.0,2015-06-22,Public Policy,2202,FL,2015,June,2,Monday,No,VIP
College of Natural Science,Tucson,College of Agriculture and Natural Resources,Scholarship,4575.0,2015-04-06,Packaging,2203,AZ,2015,April,2,Monday,No,Premium
College of Natural Science,Chicago,College of Agriculture and Natural Resources,Scholarship,8701.0,2015-10-30,Food Science,2204,IL,2015,October,4,Friday,No,VIP
University Libraries,San Francisco,College of Social Science,Campus Resource,5668.0,2015-01-13,Economics,2205,CA,2015,January,1,Tuesday,No,VIP
College of Natural Science,Miami,College of Nursing,Scholarship,303.0,2015-02-21,Summer Research Program,2206,FL,2015,February,1,Saturday,Yes,Medium
College of Engineering,Charlotte,College of Social Science,Scholarship,1548.0,2015-09-17,Interdisciplinary Studies in Social Science,2207,NC,2015,September,3,Thursday,No,Premium
Trustees Fund,Salem,College of Agriculture and Natural Resources,Endowment,7306.0,2015-12-09,Horticulture,2208,OR,2015,December,4,Wednesday,No,VIP
Trustees Fund,Memphis,College of Agriculture and Natural Resources,Endowment,1440.0,2015-01-09,Environmental Studies and Agriscience,2209,TN,2015,January,1,Friday,No,Premium
Diversity Fund,Phoenix,College of Natural Science,Endowment,5144.0,2015-04-25,Microbiology,2210,AZ,2015,April,2,Saturday,Yes,VIP
University Annual Fund,Dallas,College of Social Science,Endowment,5325.0,2015-07-25,Geographic Information Science,2211,TX,2015,July,3,Saturday,Yes,VIP
Parents Association,Manchester,College of Social Science,Campus Resource,3351.0,2015-11-01,Interdisciplinary Studies in Social Science - Social Science Education,2212,NH,2015,November,4,Sunday,Yes,Premium
In-State Scholarship Fund,Durham,College of Arts and Sciences,Scholarship,6813.0,2015-01-02,Professional Writing,2213,NC,2015,January,1,Friday,No,VIP
University Annual Fund,Wichita,College of Arts and Sciences,Endowment,8310.0,2015-06-01,Art Education,2214,KS,2015,June,2,Monday,No,VIP
Diversity Fund,Denver,College of Social Science,Endowment,280.5,2015-03-25,Sociology,2215,CO,2015,March,1,Wednesday,No,Medium
Faculty Chair Endowments,Spokane,College of Natural Science,Endowment,5618.0,2015-02-17,Preoptometry,2216,WA,2015,February,1,Tuesday,No,VIP
Diversity Fund,Kansas City,College of Engineering,Endowment,4222.0,2015-01-31,Applied Engineering Sciences,2217,MO,2015,January,1,Saturday,Yes,Premium
College of Music,Kansas City,College of Natural Science,Scholarship,6502.0,2015-01-04,Neuroscience,2218,MO,2015,January,1,Sunday,Yes,VIP
College of Music,Colorado Springs,College of Arts and Sciences,Scholarship,2768.0,2015-10-16,Spanish,2219,CO,2015,October,4,Friday,No,Premium
Diversity Fund,Pittsburgh,College of Social Science,Endowment,2162.0,2015-11-23,History Education,2220,PA,2015,November,4,Monday,No,Premium
Trustees Fund,Portland,College of Communication Arts and Sciences,Endowment,8641.0,2015-01-24,Journalism,2221,OR,2015,January,1,Saturday,Yes,VIP
College of Natural Science,Phoenix,College of Arts and Sciences,Scholarship,3721.0,2015-11-22,Theatre,2222,AZ,2015,November,4,Sunday,Yes,Premium
College of Arts and Sciences,New Orleans,College of Natural Science,Scholarship,2529.0,2015-07-15,Environmental Biology/Microbiology,2223,LA,2015,July,3,Wednesday,No,Premium
Alumni Association,Raleigh,College of Natural Science,Campus Resource,7856.0,2015-06-08,Astrophysics,2224,NC,2015,June,2,Monday,No,VIP
College of Arts and Sciences,Providence,College of Natural Science,Scholarship,2229.0,2015-04-26,Genomics & Molecular Genetics,2225,RI,2015,April,2,Sunday,Yes,Premium
University Annual Fund,Memphis,College of Arts and Sciences,Endowment,218.0,2015-08-13,Chinese,2226,TN,2015,August,3,Thursday,No,Medium
Alumni Association,San Diego,College of Engineering,Campus Resource,2390.0,2015-03-17,Electrical Engineering,2227,CA,2015,March,1,Tuesday,No,Premium
College of Music,Spokane,College of Agriculture and Natural Resources,Scholarship,669.0,2015-07-12,Food Science,2228,WA,2015,July,3,Sunday,Yes,Large
College of Music,Chicago,College of Political Science,Scholarship,9380.0,2015-08-21,Social Relations and Policy,2229,IL,2015,August,3,Friday,No,VIP
